Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08226017";"Epfenbach";"9,3"
"08325015";"Epfendorf";"9,0"
"08226018";"Eppelheim, Stadt";"22,6"
"08125026";"Eppingen, Stadt";"17,1"
"08425039";"Erbach, Stadt";"15,1"
"08118014";"Erdmannhausen";"14,4"
"08435013";"Eriskirch";"12,8"
"08116018";"Erkenbrechtsweiler";"9,7"
"08125027";"Erlenbach";"13,4"
"08426043";"Erlenmoos";"6,5"
"08118015";"Erligheim";"11,5"
"08426044";"Erolzheim";"13,1"
"08426045";"Ertingen";"11,0"
"08136020";"Eschach";"5,2"
"08315033";"Eschbach";"13,2"
"08325071";"Eschbronn";"5,8"
"08226020";"Eschelbronn";"14,2"
"08117020";"Eschenbach";"7,8"
"08136021";"Essingen";"6,3"
"08116019";"Esslingen am Neckar, Stadt";"26,3"
"08317026";"Ettenheim, Stadt";"11,1"
"08215017";"Ettlingen, Stadt";"14,6"
"08237027";"Eutingen im Gäu";"11,9"
"08225024";"Fahrenbach";"6,1"
"08315037";"Feldberg (Schwarzwald)";"27,0"
"08119020";"Fellbach, Stadt";"24,6"
"08127102";"Fichtenau";"9,3"
"08127023";"Fichtenberg";"10,5"
"08116077";"Filderstadt, Stadt";"21,7"
"08317029";"Fischerbach";"6,8"
"08336024";"Fischingen";"14,1"
"08125030";"Flein";"11,2"
"08436032";"Fleischwangen";"6,3"
"08325070";"Fluorn-Winzeln";"7,8"
"08216013";"Forbach";"17,0"
"08316013";"Forchheim";"9,0"
"08126028";"Forchtenberg, Stadt";"12,6"
"08215021";"Forst";"13,6"
"08127103";"Frankenhardt";"7,0"
"08316054";"Freiamt";"5,7"
"08118078";"Freiberg am Neckar, Stadt";"17,1"
"08311000";"Freiburg im Breisgau, Stadt";"18,3"
"08128039";"Freudenberg, Stadt";"12,0"
"08237028";"Freudenstadt, Stadt";"20,6"
"08118016";"Freudental";"13,9"
"08116020";"Frickenhausen";"17,2"
"08435015";"Frickingen";"10,2"
"08327016";"Fridingen an der Donau, Stadt";"14,1"
"08315039";"Friedenweiler";"10,1"
"08435016";"Friedrichshafen, Stadt";"22,6"
"08317031";"Friesenheim";"14,2"
"08236019";"Friolzheim";"16,8"
"08327017";"Frittlingen";"15,8"
"08336025";"Fröhnd";"7,2"
"08436096";"Fronreute";"8,5"
"08326017";"Furtwangen im Schwarzwald, Stadt";"18,9"
"08216015";"Gaggenau, Stadt";"19,2"
"08226022";"Gaiberg";"11,7"
"08335025";"Gaienhofen";"13,1"
